Agent,Avg Reward,Max Reward,Min Reward,Std Reward,Avg Cost ($),Avg SOC
SAC,-70.48889,-46.307602,-110.74965,28.556261,0.25535518,0.51567894
TD3,-67.48596,-10.90505,-108.592514,28.142153,0.24484658,0.48382437
