Phase 3C : SAC Online Training
Start: 2026-01-09 22:06:17.492659
Buildings: ['Eplus-5zone-hot-continuous-v1', 'Eplus-5zone-cool-continuous-v1', 'Eplus-5zone-mixed-continuous-v1']
Episode 84 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 85 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 86 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 87 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 88 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 89 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 90 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 91 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 92 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 93 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 94 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 95 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 96 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 97 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 98 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 99 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 100 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 101 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 102 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 103 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 104 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 105 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 106 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 107 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 108 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 109 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 110 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 111 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 112 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 113 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 114 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
