Phase 3C : TD3 Online Training
Start: 2026-01-09 22:36:14.559042
Buildings: ['Eplus-5zone-hot-continuous-v1', 'Eplus-5zone-cool-continuous-v1', 'Eplus-5zone-mixed-continuous-v1']
Episode 84 (5zone): Reward=-107.47, SOC=0.48, Cost=$0.36
Episode 85 (5zone): Reward=-44.91, SOC=0.48, Cost=$0.18
Episode 86 (5zone): Reward=-51.65, SOC=0.48, Cost=$0.20
Episode 87 (5zone): Reward=-107.19, SOC=0.48, Cost=$0.36
Episode 88 (5zone): Reward=-44.39, SOC=0.48, Cost=$0.18
Episode 89 (5zone): Reward=-51.82, SOC=0.48, Cost=$0.20
Episode 90 (5zone): Reward=-106.73, SOC=0.48, Cost=$0.36
Episode 91 (5zone): Reward=-44.45, SOC=0.48, Cost=$0.18
Episode 92 (5zone): Reward=-51.49, SOC=0.48, Cost=$0.20
Episode 93 (5zone): Reward=-107.70, SOC=0.48, Cost=$0.36
Episode 94 (5zone): Reward=-44.47, SOC=0.48, Cost=$0.18
Episode 95 (5zone): Reward=-51.58, SOC=0.48, Cost=$0.20
Episode 96 (5zone): Reward=-107.46, SOC=0.48, Cost=$0.36
Episode 97 (5zone): Reward=-30.59, SOC=0.49, Cost=$0.18
Episode 98 (5zone): Reward=-43.08, SOC=0.49, Cost=$0.19
Episode 99 (5zone): Reward=-107.36, SOC=0.48, Cost=$0.36
Episode 100 (5zone): Reward=-44.48, SOC=0.48, Cost=$0.18
Episode 101 (5zone): Reward=-52.00, SOC=0.48, Cost=$0.20
Episode 102 (5zone): Reward=-107.59, SOC=0.48, Cost=$0.36
Episode 103 (5zone): Reward=-44.59, SOC=0.48, Cost=$0.18
Episode 104 (5zone): Reward=-51.85, SOC=0.48, Cost=$0.20
Episode 105 (5zone): Reward=-107.48, SOC=0.48, Cost=$0.36
Episode 106 (5zone): Reward=-44.63, SOC=0.48, Cost=$0.18
Episode 107 (5zone): Reward=-52.22, SOC=0.48, Cost=$0.20
Episode 108 (5zone): Reward=-107.30, SOC=0.48, Cost=$0.36
Episode 109 (5zone): Reward=-44.63, SOC=0.48, Cost=$0.18
Episode 110 (5zone): Reward=-51.70, SOC=0.48, Cost=$0.20
Episode 111 (5zone): Reward=-107.46, SOC=0.48, Cost=$0.36
Episode 112 (5zone): Reward=-44.42, SOC=0.48, Cost=$0.18
Episode 113 (5zone): Reward=-52.43, SOC=0.48, Cost=$0.20
Episode 114 (5zone): Reward=-107.55, SOC=0.48, Cost=$0.36
Episode 115 (5zone): Reward=-44.50, SOC=0.48, Cost=$0.18
Episode 116 (5zone): Reward=-51.26, SOC=0.48, Cost=$0.20
Episode 117 (5zone): Reward=-107.73, SOC=0.48, Cost=$0.36
Episode 118 (5zone): Reward=-44.15, SOC=0.48, Cost=$0.18
Episode 119 (5zone): Reward=-51.68, SOC=0.48, Cost=$0.20
Episode 120 (5zone): Reward=-107.21, SOC=0.48, Cost=$0.36
Episode 121 (5zone): Reward=-44.74, SOC=0.48, Cost=$0.18
Episode 122 (5zone): Reward=-51.74, SOC=0.48, Cost=$0.20
Episode 123 (5zone): Reward=-106.90, SOC=0.48, Cost=$0.36
Episode 124 (5zone): Reward=-44.17, SOC=0.48, Cost=$0.18
Episode 125 (5zone): Reward=-52.23, SOC=0.48, Cost=$0.20
Episode 126 (5zone): Reward=-107.61, SOC=0.48, Cost=$0.36
Episode 127 (5zone): Reward=-44.68, SOC=0.48, Cost=$0.18
Episode 128 (5zone): Reward=-51.73, SOC=0.48, Cost=$0.20
Episode 129 (5zone): Reward=-107.93, SOC=0.48, Cost=$0.36
Episode 130 (5zone): Reward=-44.52, SOC=0.48, Cost=$0.18
Episode 131 (5zone): Reward=-51.76, SOC=0.48, Cost=$0.20
Episode 132 (5zone): Reward=-107.53, SOC=0.48, Cost=$0.36
Episode 133 (5zone): Reward=-44.52, SOC=0.48, Cost=$0.18
Episode 134 (5zone): Reward=-51.55, SOC=0.48, Cost=$0.20
Episode 135 (5zone): Reward=-107.71, SOC=0.48, Cost=$0.36
Episode 136 (5zone): Reward=-44.54, SOC=0.48, Cost=$0.18
Episode 137 (5zone): Reward=-51.58, SOC=0.48, Cost=$0.20
Episode 138 (5zone): Reward=-107.16, SOC=0.48, Cost=$0.36
Episode 139 (5zone): Reward=-44.73, SOC=0.48, Cost=$0.18
Episode 140 (5zone): Reward=-52.13, SOC=0.48, Cost=$0.20
Episode 141 (5zone): Reward=-108.10, SOC=0.48, Cost=$0.36
Episode 142 (5zone): Reward=-44.15, SOC=0.48, Cost=$0.18
Episode 143 (5zone): Reward=-52.22, SOC=0.48, Cost=$0.20
Episode 144 (5zone): Reward=-107.26, SOC=0.48, Cost=$0.36
Episode 145 (5zone): Reward=-44.69, SOC=0.48, Cost=$0.18
Episode 146 (5zone): Reward=-52.38, SOC=0.48, Cost=$0.20
Episode 147 (5zone): Reward=-107.82, SOC=0.48, Cost=$0.36
Episode 148 (5zone): Reward=-44.51, SOC=0.48, Cost=$0.18
Episode 149 (5zone): Reward=-51.80, SOC=0.48, Cost=$0.20
Episode 150 (5zone): Reward=-107.63, SOC=0.48, Cost=$0.36
Episode 151 (5zone): Reward=-44.57, SOC=0.48, Cost=$0.18
Episode 152 (5zone): Reward=-52.12, SOC=0.48, Cost=$0.20
Episode 153 (5zone): Reward=-107.84, SOC=0.48, Cost=$0.36
Episode 154 (5zone): Reward=-44.43, SOC=0.48, Cost=$0.18
Episode 155 (5zone): Reward=-52.09, SOC=0.48, Cost=$0.20
Episode 156 (5zone): Reward=-107.01, SOC=0.48, Cost=$0.36
Episode 157 (5zone): Reward=-44.29, SOC=0.48, Cost=$0.18
Episode 158 (5zone): Reward=-51.42, SOC=0.48, Cost=$0.20
Episode 159 (5zone): Reward=-108.44, SOC=0.48, Cost=$0.36
Episode 160 (5zone): Reward=-44.67, SOC=0.48, Cost=$0.18
Episode 161 (5zone): Reward=-51.55, SOC=0.48, Cost=$0.20
Episode 162 (5zone): Reward=-107.00, SOC=0.48, Cost=$0.36
Episode 163 (5zone): Reward=-44.14, SOC=0.48, Cost=$0.18
Episode 164 (5zone): Reward=-52.04, SOC=0.48, Cost=$0.20
Episode 165 (5zone): Reward=-107.67, SOC=0.48, Cost=$0.36
Episode 166 (5zone): Reward=-44.18, SOC=0.48, Cost=$0.18
Episode 167 (5zone): Reward=-52.16, SOC=0.48, Cost=$0.20
Episode 168 (5zone): Reward=-107.41, SOC=0.48, Cost=$0.36
Episode 169 (5zone): Reward=-44.75, SOC=0.48, Cost=$0.18
Episode 170 (5zone): Reward=-52.27, SOC=0.48, Cost=$0.20
Episode 171 (5zone): Reward=-106.88, SOC=0.48, Cost=$0.36
Episode 172 (5zone): Reward=-45.02, SOC=0.48, Cost=$0.18
Episode 173 (5zone): Reward=-51.37, SOC=0.48, Cost=$0.20
Episode 174 (5zone): Reward=-107.60, SOC=0.48, Cost=$0.36
Episode 175 (5zone): Reward=-44.21, SOC=0.48, Cost=$0.18
Episode 176 (5zone): Reward=-51.35, SOC=0.48, Cost=$0.20
Episode 177 (5zone): Reward=-107.76, SOC=0.48, Cost=$0.36
Episode 178 (5zone): Reward=-44.49, SOC=0.48, Cost=$0.18
Episode 179 (5zone): Reward=-51.84, SOC=0.48, Cost=$0.20
Episode 180 (5zone): Reward=-107.93, SOC=0.48, Cost=$0.36
Episode 181 (5zone): Reward=-44.55, SOC=0.48, Cost=$0.18
Episode 182 (5zone): Reward=-51.83, SOC=0.48, Cost=$0.20
Episode 183 (5zone): Reward=-107.24, SOC=0.48, Cost=$0.36
Episode 184 (5zone): Reward=-44.43, SOC=0.48, Cost=$0.18
Episode 185 (5zone): Reward=-51.89, SOC=0.48, Cost=$0.20
Episode 186 (5zone): Reward=-107.71, SOC=0.48, Cost=$0.36
Episode 187 (5zone): Reward=-44.25, SOC=0.48, Cost=$0.18
Episode 188 (5zone): Reward=-51.58, SOC=0.48, Cost=$0.20
Episode 189 (5zone): Reward=-107.34, SOC=0.48, Cost=$0.36
Episode 190 (5zone): Reward=-44.03, SOC=0.48, Cost=$0.18
Episode 191 (5zone): Reward=-52.02, SOC=0.48, Cost=$0.20
Episode 192 (5zone): Reward=-107.42, SOC=0.48, Cost=$0.36
Episode 193 (5zone): Reward=-44.54, SOC=0.48, Cost=$0.18
Episode 194 (5zone): Reward=-51.76, SOC=0.48, Cost=$0.20
Episode 195 (5zone): Reward=-107.41, SOC=0.48, Cost=$0.36
Episode 196 (5zone): Reward=-44.47, SOC=0.48, Cost=$0.18
Episode 197 (5zone): Reward=-51.76, SOC=0.48, Cost=$0.20
Episode 198 (5zone): Reward=-106.97, SOC=0.48, Cost=$0.36
Episode 199 (5zone): Reward=-44.59, SOC=0.48, Cost=$0.18
Episode 200 (5zone): Reward=-51.87, SOC=0.48, Cost=$0.20
Episode 201 (5zone): Reward=-108.02, SOC=0.48, Cost=$0.36
Episode 202 (5zone): Reward=-44.63, SOC=0.48, Cost=$0.18
Episode 203 (5zone): Reward=-50.99, SOC=0.48, Cost=$0.19
Episode 204 (5zone): Reward=-107.42, SOC=0.48, Cost=$0.36
Episode 205 (5zone): Reward=-44.41, SOC=0.48, Cost=$0.18
Episode 206 (5zone): Reward=-51.77, SOC=0.48, Cost=$0.20
Episode 207 (5zone): Reward=-106.48, SOC=0.48, Cost=$0.36
Episode 208 (5zone): Reward=-44.14, SOC=0.48, Cost=$0.18
Episode 209 (5zone): Reward=-52.56, SOC=0.48, Cost=$0.20
Episode 210 (5zone): Reward=-107.59, SOC=0.48, Cost=$0.36
Episode 211 (5zone): Reward=-44.56, SOC=0.48, Cost=$0.18
Episode 212 (5zone): Reward=-51.37, SOC=0.48, Cost=$0.20
Episode 213 (5zone): Reward=-107.57, SOC=0.48, Cost=$0.36
Episode 214 (5zone): Reward=-44.23, SOC=0.48, Cost=$0.18
Episode 215 (5zone): Reward=-51.42, SOC=0.48, Cost=$0.20
Episode 216 (5zone): Reward=-107.13, SOC=0.48, Cost=$0.36
Episode 217 (5zone): Reward=-43.95, SOC=0.48, Cost=$0.18
Episode 218 (5zone): Reward=-51.97, SOC=0.48, Cost=$0.20
Episode 219 (5zone): Reward=-107.68, SOC=0.48, Cost=$0.36
Episode 220 (5zone): Reward=-44.09, SOC=0.48, Cost=$0.18
Episode 221 (5zone): Reward=-51.76, SOC=0.48, Cost=$0.20
Episode 222 (5zone): Reward=-106.97, SOC=0.48, Cost=$0.36
Episode 223 (5zone): Reward=-44.26, SOC=0.48, Cost=$0.18
Episode 224 (5zone): Reward=-51.93, SOC=0.48, Cost=$0.20
Episode 225 (5zone): Reward=-107.73, SOC=0.48, Cost=$0.36
Episode 226 (5zone): Reward=-44.72, SOC=0.48, Cost=$0.18
Episode 227 (5zone): Reward=-51.70, SOC=0.48, Cost=$0.20
